uc011ijp.2	ENST00000383582
uc011ijq.2	ENST00000549361
uc011ijr.2	ENST00000549361
uc011ijs.2	ENST00000549361
uc011ikh.2	ENST00000383564
uc011iki.2	ENST00000400531
uc011ikm.2	ENST00000400488
uc011ikn.2	ENST00000400489
uc011iko.2	ENST00000400492
uc011ikp.2	ENST00000400491
uc011ikq.2	ENST00000400489
uc011ikr.2	ENST00000400488
uc011iks.2	ENST00000437449
uc011ikt.2	ENST00000400486
uc011iku.1	ENST00000490712
uc011ikv.2	ENST00000550395
uc011ikx.2	ENST00000400488
uc011iky.2	ENST00000400488
uc021ztp.1	ENST00000579346
uc011ikw.1	ENST00000550395
uc011ila.1	ENST00000376326
uc011ilb.1	ENST00000459745
uc011ild.1	ENST00000475673
uc021ztq.1	ENST00000475673
uc011ilg.2	ENST00000383540
uc011ili.2	ENST00000383540
uc011ilh.2	ENST00000383540
uc011ilj.2	ENST00000383540
uc011ilm.2	ENST00000383540
uc011ilk.2	ENST00000383540
uc011ill.2	ENST00000383540
uc011iln.2	ENST00000473449
uc011ilo.2	ENST00000462424
uc011ilq.1	ENST00000414703
uc011ilr.1	ENST00000383535
uc011ils.1	ENST00000383535
uc021ztr.1	ENST00000383535
uc021zts.1	ENST00000429324
uc021ztt.1	ENST00000429324
uc021ztv.2	ENST00000423997
uc021ztu.1	ENST00000423997
uc011ilv.2	ENST00000376289
uc011ilw.2	ENST00000472672
uc011ily.2	ENST00000376289
uc011imf.2	ENST00000400401
uc011img.2	ENST00000400401
uc011imn.3	ENST00000407772
uc011imo.1	ENST00000428416
uc031sve.1	ENST00000428416
uc011inc.1	ENST00000400322
uc021ztz.1	ENST00000400322
uc021zua.1	ENST00000400322
uc021zub.1	ENST00000547609
uc011ind.1	ENST00000547609
uc011inf.1	ENST00000428416
uc011ing.1	ENST00000400313
uc011inh.2	ENST00000428416
uc011ini.1	ENST00000383512
uc011inz.2	ENST00000400279
uc011ioa.2	ENST00000400279
uc011iob.1	ENST00000400279
